RUN	Protoplast_assay	CRISPResso2_category	Batch	Condition_name	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions	Efficiency	Figure	Figure_bar	Reference	Position_in_Figure	Position_in_Figure_bar
RUN62	HEK7	gRNA7_rep2	TOP272_2	gRNA7	2289	2126	163	0	6	78	91	4	68	79	0	2	10	0	0.031454784	Sup_Fig.S5	Sup_Fig.S5	-	8	8
RUN62	HEK7	gRNA8_rep1	TOP273_1	gRNA8	2441	2183	258	0	44	174	72	35	151	42	0	7	21	2	0.076198279	Sup_Fig.S5	Sup_Fig.S5	-	9	9
RUN62	HEK7	gRNA8_rep2	TOP273_2	gRNA8	1518	1390	128	0	22	85	30	19	79	21	0	3	6	0	0.06455863	Sup_Fig.S5	Sup_Fig.S5	-	9	9
6-8_RUN3	HEK8	AAVS1	TOP23_AAVS1-1	AAVS1_1	12360	5799	6561	0	1266	5169	814	924	4821	142	2	326	332	14	0.46723301	Fig.4B	Fig.4B	hu_codon	1	1
6-8_RUN3	HEK8	AAVS1	TOP23_AAVS1-1	AAVS1_1	7865	3621	4244	0	863	3306	516	621	3103	94	4	223	184	15	0.477813096	Fig.4B	Fig.4B	hu_codon	1	1
6-8_RUN3	HEK8	AAVS1	TOP23_AAVS1-1	AAVS1_mock	27090	26612	478	0	0	2	476	0	2	476	0	0	0	0	7.3828E-05	Fig.4B	Fig.4B	hu_codon	2	2
6-8_RUN3	HEK8	AAVS1	TOP23_AAVS1-1	AAVS1_mock	31004	30455	549	0	0	1	548	0	1	548	0	0	0	0	3.22539E-05	Fig.4B	Fig.4B	hu_codon	2	2
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-1	CXCR4_1	1580	864	716	0	68	626	93	54	568	23	1	13	57	0	0.394303797	Fig.4B	Fig.4B	hu_codon	3	3
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-1	CXCR4_1	759	436	323	0	27	288	35	18	270	8	0	9	18	0	0.37944664	Fig.4B	Fig.4B	hu_codon	3	3
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-2	CXCR4_2	1898	545	1353	0	264	1069	140	249	964	21	0	14	104	1	0.640147524	Fig.4B	Fig.4B	hu_codon	4	4
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-2	CXCR4_2	852	219	633	0	113	507	48	110	475	13	0	3	32	0	0.686619718	Fig.4B	Fig.4B	hu_codon	4	4
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-3	CXCR4_3	3895	580	3315	0	118	3157	263	86	2966	44	0	28	187	4	0.785622593	Fig.4B	Fig.4B	hu_codon	5	5
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-3	CXCR4_3	3913	692	3221	0	133	3007	288	90	2843	84	0	40	161	3	0.751086123	Fig.4B	Fig.4B	hu_codon	5	5
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-3	CXCR4_mock	7536	6968	568	0	0	0	568	0	0	568	0	0	0	0	0	Fig.4B	Fig.4B	hu_codon	6	6
6-8_RUN3	HEK8	CXCR4	TOP23_CXCR4-3	CXCR4_mock	6424	5950	474	0	0	1	473	0	1	473	0	0	0	0	0.000155666	Fig.4B	Fig.4B	hu_codon	6	6
6-8_RUN3	HEK8	EMX1	TOP23_EMX-1	EMX1_1	13636	11853	1783	0	238	1260	398	206	1179	285	0	32	81	0	0.101569375	Fig.4B	Fig.4B	hu_codon	7	7
6-8_RUN3	HEK8	EMX1	TOP23_EMX-1	EMX1_1	5577	4799	778	0	113	543	167	100	511	122	0	13	32	0	0.10955711	Fig.4B	Fig.4B	hu_codon	7	7
6-8_RUN3	HEK8	EMX1	TOP23_EMX-1	EMX1_mock	15495	15133	362	0	0	1	361	0	1	361	0	0	0	0	6.45369E-05	Fig.4B	Fig.4B	hu_codon	8	8
6-8_RUN3	HEK8	EMX1	TOP23_EMX-1	EMX1_mock	15277	14915	362	0	1	0	361	1	0	361	0	0	0	0	6.54579E-05	Fig.4B	Fig.4B	hu_codon	8	8
6-8_RUN3	HEK8	KRAS	TOP23_KRAS-3	KRAS_1	13419	12080	1339	0	201	713	563	138	635	428	3	60	75	0	0.057828452	Fig.4B	Fig.4B	hu_codon	9	9
6-8_RUN3	HEK8	KRAS	TOP23_KRAS-3	KRAS_1	8996	8033	963	0	138	529	390	104	468	298	1	32	59	1	0.063917297	Fig.4B	Fig.4B	hu_codon	9	9
6-8_RUN3	HEK8	KRAS	TOP23_KRAS-3	KRAS_mock	19020	18248	772	0	9	19	766	1	5	745	0	7	13	1	0.00042061	Fig.4B	Fig.4B	hu_codon	10	10
6-8_RUN3	HEK8	KRAS	TOP23_KRAS-3	KRAS_mock	13038	12513	525	0	8	17	519	0	6	500	0	8	11	0	0.000460193	Fig.4B	Fig.4B	hu_codon	10	10
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-1	VEGFA_1	13662	8428	5234	0	620	3369	1742	499	2993	1250	0	116	371	5	0.25633143	Fig.4B	Fig.4B	hu_codon	11	11
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-1	VEGFA_1	13530	8266	5264	0	572	3516	1667	469	3128	1178	0	101	386	2	0.266149298	Fig.4B	Fig.4B	hu_codon	11	11
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-2	VEGFA_2	23527	21394	2133	0	106	779	1401	68	662	1254	2	32	111	4	0.031453224	Fig.4B	Fig.4B	hu_codon	12	12
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-2	VEGFA_2	22049	20288	1761	0	56	691	1127	41	593	1014	0	15	98	0	0.028754139	Fig.4B	Fig.4B	hu_codon	12	12
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-3	VEGFA_3	20758	19195	1563	0	23	29	1514	21	28	1511	0	2	1	0	0.002360536	Fig.4B	Fig.4B	hu_codon	13	13
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-3	VEGFA_3	17566	16640	926	0	24	22	883	22	21	880	0	2	1	0	0.002447911	Fig.4B	Fig.4B	hu_codon	13	13
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-3	VEGFA_mock	9483	8796	687	0	0	1	686	0	1	686	0	0	0	0	0.000105452	Fig.4B	Fig.4B	hu_codon	14	14
6-8_RUN3	HEK8	VEGFA	TOP23_VEGFA-3	VEGFA_mock	15765	15001	764	0	0	0	764	0	0	764	0	0	0	0	0	Fig.4B	Fig.4B	hu_codon	14	14
